iter	Logloss
0	0.6872793619
1	0.6809006561
2	0.6743247592
3	0.6679446186
4	0.6612156472
5	0.6570430341
6	0.6510324785
7	0.6450519518
8	0.6388479636
9	0.6329830737
10	0.6274308113
11	0.6220802852
12	0.6169526179
13	0.6116018706
14	0.6076280047
15	0.6026734545
16	0.5983999936
17	0.5940202307
18	0.5892455347
19	0.5856029592
20	0.5815577755
21	0.5772508393
22	0.5728154627
23	0.5707288838
24	0.5667705016
25	0.5628871763
26	0.5609463077
27	0.5568244969
28	0.5531007602
29	0.5493233787
30	0.545598266
31	0.5423989001
32	0.5389865486
33	0.5373506916
34	0.5339892679
35	0.5310273333
36	0.5282880806
37	0.5250679628
38	0.5222851659
39	0.5194855296
40	0.5166960212
41	0.513935875
42	0.5112992817
43	0.5087276651
44	0.5061719973
45	0.5044735513
46	0.5023443126
47	0.499979956
48	0.4981224123
49	0.4965225109
50	0.494057918
51	0.4922137415
52	0.4900895565
53	0.487979174
54	0.486150659
55	0.4839150363
56	0.481779842
57	0.4802461188
58	0.4785234246
59	0.4764189534
60	0.4751203761
61	0.4733420843
62	0.4713251903
63	0.4693559481
64	0.4676644144
65	0.4669113459
66	0.4649694174
67	0.4632647401
68	0.4617375282
69	0.4606765482
70	0.4595608207
71	0.458216473
72	0.4564741332
73	0.4549665409
74	0.4534803958
75	0.4519353879
76	0.4509610345
77	0.4502759149
78	0.4489182477
79	0.4481889656
80	0.4468706077
81	0.4456818837
82	0.444309576
83	0.4428035677
84	0.4414365841
85	0.4403715553
86	0.4391180038
87	0.4379064931
88	0.4368773739
89	0.4364509244
90	0.4354013916
91	0.43447356
92	0.4335846977
93	0.4325336793
94	0.4313664645
95	0.4309013073
96	0.4298066586
97	0.4292260229
98	0.4282527059
99	0.4272276231
100	0.426139653
101	0.4253915395
102	0.4247153219
103	0.4240660919
104	0.4230687817
105	0.4221495896
106	0.421217637
107	0.4203879696
108	0.4196075731
109	0.4190407101
110	0.4180881156
111	0.4175212654
112	0.4169722728
113	0.4164873719
114	0.4156707264
115	0.4150079694
116	0.4144568379
117	0.4139624765
118	0.4133236367
119	0.4125183282
120	0.4119793374
121	0.4112372016
122	0.410418252
123	0.4098153891
124	0.4091618847
125	0.4084495742
126	0.4078067934
127	0.4069503555
128	0.4062371778
129	0.4057394304
130	0.4050592654
131	0.404592886
132	0.4039355092
133	0.4034287206
134	0.4028454501
135	0.4022429591
136	0.4018306539
137	0.4011872322
138	0.4005305825
139	0.4002293787
140	0.3999708213
141	0.3995019539
142	0.3991694405
143	0.3987344955
144	0.3985614967
145	0.3983420747
146	0.3978755372
147	0.3975454127
148	0.3969077838
149	0.3967426613
150	0.3964710129
151	0.3963652013
152	0.3959021903
153	0.3954552013
154	0.3952540947
155	0.3946466577
156	0.3944512155
157	0.3938186006
158	0.3934416369
159	0.3929337319
160	0.3924821661
161	0.3919480567
162	0.3914627586
163	0.3910132321
164	0.3906794055
165	0.3902657083
166	0.3898114625
167	0.3893388389
168	0.3890740124
169	0.3887706579
170	0.3883468956
171	0.3879996606
172	0.3877330911
173	0.3872869324
174	0.3868392287
175	0.3864180228
176	0.3863242179
177	0.3860374335
178	0.3856286185
179	0.3853705404
180	0.3850402868
181	0.3846538277
182	0.3844185854
183	0.3840801089
184	0.3838363235
185	0.3835802875
186	0.3834401951
187	0.3830527722
188	0.3827694116
189	0.3825979666
190	0.3822979413
191	0.3817948971
192	0.3816103655
193	0.3813608662
194	0.3812940558
195	0.3810168623
196	0.3806153789
197	0.3803502953
198	0.380152603
199	0.3798436284
200	0.3796445762
201	0.3795648612
202	0.3793156901
203	0.3791343891
204	0.3788676755
205	0.378783829
206	0.3786309838
207	0.3783878174
208	0.3783001651
209	0.3781945489
210	0.3779805517
211	0.3775904478
212	0.3772767283
213	0.3770731605
214	0.3768201399
215	0.3766725749
216	0.3763162211
217	0.3761592349
218	0.3759349772
219	0.3757443175
220	0.3755193905
221	0.3752553461
222	0.3749050526
223	0.3746232784
224	0.3743933351
225	0.3741494008
226	0.374027999
227	0.3738235791
228	0.373565888
229	0.3734802287
230	0.3733592303
231	0.3731291346
232	0.3727733928
233	0.3725802177
234	0.3724912869
235	0.3723150568
236	0.3721793586
237	0.3720029408
238	0.3717680905
239	0.3716307118
240	0.371357046
241	0.3711876961
242	0.3709660101
243	0.3706741352
244	0.3704770175
245	0.3703530066
246	0.3700074907
247	0.369799004
248	0.369682686
249	0.3695760948
250	0.3693785486
251	0.3691041399
252	0.3688638418
253	0.3687332174
254	0.3685492408
255	0.3682618907
256	0.3681426821
257	0.3678429905
258	0.36759421
259	0.367319302
260	0.3672236123
261	0.3668916763
262	0.3668362101
263	0.3666636847
264	0.3664205037
265	0.3663741178
266	0.3662621146
267	0.366210195
268	0.3659750859
269	0.36585169
270	0.3657011394
271	0.3656697602
272	0.3655111726
273	0.3652347038
274	0.3651507286
275	0.3650046725
276	0.3648657826
277	0.3646747732
278	0.3644657721
279	0.364342395
280	0.364183921
281	0.3640498561
282	0.3638404525
283	0.3636729183
284	0.3635978357
285	0.3635480312
286	0.3634804115
287	0.3633101954
288	0.3632398539
289	0.3630850437
290	0.3629890676
291	0.3629733102
292	0.3629669688
293	0.362697267
294	0.3625800912
295	0.3623745027
296	0.3622747719
297	0.3621406224
298	0.3618823895
299	0.361770909
300	0.3617589855
301	0.3616119405
302	0.3613356871
303	0.3612138339
304	0.3609996839
305	0.3608953808
306	0.3607730203
307	0.3605547742
308	0.3604612966
309	0.3603570975
310	0.3603310459
311	0.3602680212
312	0.360134115
313	0.3599704534
314	0.3598592999
315	0.3595329628
316	0.3593348249
317	0.3591611114
318	0.3590416466
319	0.3588366228
320	0.3587317854
321	0.3587072223
322	0.3584273203
323	0.3583151919
324	0.3582039712
325	0.3580541356
326	0.357793104
327	0.3575041276
328	0.3574380611
329	0.3573012347
330	0.3571951611
331	0.3571452596
332	0.3569956819
333	0.3567921917
334	0.3567176133
335	0.3564347479
336	0.3563304347
337	0.3562197637
338	0.3560613555
339	0.3560088697
340	0.3559163837
341	0.3558568762
342	0.3556988917
343	0.3554314023
344	0.3552442983
345	0.3552189556
346	0.3550193354
347	0.354912353
348	0.3548499966
349	0.3548001468
350	0.3547814872
351	0.3546111638
352	0.35454366
353	0.3544778338
354	0.3544683303
355	0.3543788525
356	0.35430913
357	0.3541842114
358	0.3541425098
359	0.3539145965
360	0.3537245727
361	0.3536093144
362	0.3535201728
363	0.353456877
364	0.3533676967
365	0.3533014429
366	0.3531509252
367	0.3530364765
368	0.3528926672
369	0.3526867207
370	0.3525203733
371	0.3525175624
372	0.3524343058
373	0.352327998
374	0.3522285878
375	0.3521029207
376	0.352040019
377	0.3518034848
378	0.3516326995
379	0.3515332921
380	0.3514829661
381	0.3513197711
382	0.3512009259
383	0.3510747864
384	0.3509035868
385	0.3507786921
386	0.3506890566
387	0.3506031034
388	0.3504859696
389	0.3503840455
390	0.3502767502
391	0.3501944726
392	0.3500935281
393	0.3499987447
394	0.3498337499
395	0.3497804036
396	0.3496561895
397	0.3495752578
398	0.3494546497
399	0.349329787
400	0.3492882142
401	0.3492576429
402	0.3491780825
403	0.3490854072
404	0.3490724396
405	0.3490070526
406	0.3489345507
407	0.3488552627
408	0.3487823764
409	0.3486339155
410	0.3484911899
411	0.3484868855
412	0.3483357308
413	0.3482903756
414	0.3482434795
415	0.348184942
